question_id,question,existing options,answer,augmented options,image path (if need),"review result (If there is no issue, write ""1""; if there is an issue, state the reason directly.)",
validation_Math_19,"A graph <img='./images/q_387_1.png'> and a spanning tree <image 5> of <img='./images/q_387_1.png'> are given, Give the Fundamental Cut sets of <img='./images/q_387_1.png'> with respect of <image 5>","A. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_3$, $e_7$}, {$e_5$, $e_7$, $e_8$}, {$e_6$, $e_8$}
B. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_6$, $e_8$}
C. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_3$, $e_7$}, {$e_5$, $e_7$, $e_8$}, {$e_6$, $e_8$}, {$e_2$, $e_4$}
D. {$e_2$, $e_4$, $e_8$}","A. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_3$, $e_7$}, {$e_5$, $e_7$, $e_8$}, {$e_6$, $e_8$}","E. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_3$, $e_7$}, {$e_6$, $e_8$}, {$e_2$, $e_4$}
F. {$e_1$, $e_8$}, {$e_3$, $e_7$}, {$e_5$, $e_7$, $e_8$}, {$e_6$, $e_8$}
G. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_3$, $e_7$}, {$e_5$, $e_7$, $e_8$}
H. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_5$, $e_7$, $e_8$}, {$e_6$, $e_8$}
I. {$e_1$, $e_8$}, {$e_3$, $e_7$}, {$e_6$, $e_8$}, {$e_2$, $e_4$}
J. {$e_1$, $e_8$}, {$e_2$, $e_4$, $e_8$}, {$e_3$, $e_7$}, {$e_2$, $e_4$}",images/validation_Math_19_1.png,1,
validation_Agriculture_15,<image 1> What could be the reason for this grassy-like clump in the maize photographed by my coworker Wilmarie Kriel in South Africa?,"A. Lack of nutrients
B. Downy mildew (oomycete)
C. Don't know, not sure
D. Virus",B. Downy mildew (oomycete),"E. Fungal infection
F. Insect damage
G. Water stress
H. Herbicide damage
I. Bacterial infection
J. Weather damage",images/validation_Agriculture_15_1.png,1,
validation_Sociology_27,The racial term <image 1> can refer to ____.,"A. A black person living in Canada
B. People whose ancestors came to Canada through the slave trade
C. A white person who originated in Africa and now lives in Canada
D. Any of the above",D. Any of the above,"E. A person of Asian descent living in Canada
F. A person of Hispanic origin now residing in Canada
G. A Native American living in Canada
H. A person of Middle Eastern descent living in Canada
I. A person of mixed race living in Canada
J. People whose ancestors migrated to Canada in the 19th century",images/validation_Sociology_27_1.png,wrong,any of the above
validation_Finance_28,The following table shows interest rates and exchange rates for the U.S. dollar and the Lilliputian nano. The spot exchange rate is 15 nanos = $1. <image 1>. What is Dollar interest rate for 1 year?,"A. 5.58
B. 2.34
C. 15.18
D. 3.85",A. 5.58,"E. 6.72
F. 4.45
G. 1.98
H. 7.32
I. 4.90
J. 3.27",images/validation_Finance_28_1.png,1,
validation_Biology_5,What is part B in the figure? <image 1>,"A. Sheath
B. Viral genome
C. Capsid
D. Tail Fibers",B. Viral genome,"E. Envelope
F. Head
G. Base Plate
H. Neck
I. Tail Tube
J. Spikes",images/validation_Biology_5_1.png,1,
validation_Math_21,"Consider the problem of finding the solution to the system of one ""simultaneous"" nonlinear equation $f_1(x)=x e^{-x}=0$ by Newton-Raphson iteration. Determine for which values of the starting point x0, the function will converge.
<image 1>","A. When $x_0$ is greater than 1
B. When $x_0$ is equal to 1
C. When $x_0$ is less than 1
D. When $x_0$ is equal to 0",C. When $x_0$ is less than 1,"E. When $x_0$ is less than 0
F. When $x_0$ is greater than 2
G. When $x_0$ is equal to 2
H. When $x_0$ is less than -1
I. When $x_0$ is greater than 0
J. When $x_0$ is equal to -1",images/validation_Math_21_1.png,,
validation_Marketing_5,The Eastern and Western Major League Soccer conferences have a new Reserve Division that allows new players to develop their skills. Data for a randomly picked date showed the following annual goals. <image 1> The exact distribution for the hypothesis test is:,"A. the normal distribution
B. the Student's t-distribution
C. the uniform distribution
D. the exponential distribution",B. the Student's t-distribution,"E. the Bernoulli distribution
F. the Poisson distribution
G. the binomial distribution
H. the gamma distribution
I. the logistic distribution
J. the beta distribution",images/validation_Marketing_5_1.png,1,
validation_Pharmacy_24,What is the following structure's <image 1> mechanism of action?,"A. Topoisomerase poison
B. Metallating agent
C. Chain terminator
D. Antisense agent",A. Topoisomerase poison,"E. Alkylating agent
F. Folic acid antagonist
G. Intercalating agent
H. DNA gyrase inhibitor
I. RNA polymerase inhibitor
J. DNA primase inhibitor",images/validation_Pharmacy_24_1.png,1,
validation_Physics_23,"<image 1>A square loop of wire of side 0.5 meter and resistance 10^{-2} ohm is located in a uniform magnetic field of intensity 0.4 tesla directed out of the page as shown. The magnitude of the field is decreased to zero at a constant rate in 2 seconds. As the field is decreased, what are the magnitude and direction of the current in the loop?","A. Zero
B. 5 A, counterclockwise
C. 5 A, clockwise
D. 20 A, counterclockwise","B. 5 A, counterclockwise","E. 10 A, clockwise
F. 2 A, counterclockwise
G. 15 A, clockwise
H. 7 A, counterclockwise
I. 3 A, clockwise
J. 6 A, counterclockwise",images/validation_Physics_23_1.png,1,
validation_Art_Theory_13,Which contemporary artist's architectural style is resembled in the painting's setting? <image 1>,"A. Amolfo di Cambio
B. Brunelleschi
C. Bernini
D. Michelangelo",B. Brunelleschi,"E. Donatello
F. Giotto
G. Leonardo da Vinci
H. Caravaggio
I. Raphael
J. Botticelli",images/validation_Art_Theory_13_1.png,1,
validation_Math_2,"For the picture galleries the plans of which are given in Fig. 1, find the smallest number of attendants who, if placed in the various doorways connect two adjacent rooms, can supervise all rooms. Use integer programming and the simplex method to solve.
<image 1>","A. (a) 1,(b) 2
B. (a) 2, (b) 3
C. (a) 2,(b) 2
D. (a) 1,(b) 3","B. (a) 2, (b) 3","E. (a) 3, (b) 2
F. (a) 1, (b) 4
G. (a) 3, (b) 1
H. (a) 2, (b) 4
I. (a) 3, (b) 3
J. (a) 4, (b) 1",images/validation_Math_2_1.png,1,
validation_Geography_23,"The cantilever beam is subjected to a concentrated force P at the free end, and the cross-sectional shape and the action line of force P are shown in the figure What type of cross-section produces the combined deformation of oblique bending and torsion?<image 1>","A. Rectangle
B. Channel steel
C. I-beam
D. Equilateral angle steel",D. Equilateral angle steel,"E. Square
F. Triangle
G. Round bar steel
H. T-beam
I. Box section
J. Hexagonal",images/validation_Geography_23_1.png,1,
validation_Diagnostics_and_Laboratory_Medicine_23,This resection of a skull lesion shows a <image 1>,"A. Eosinophilic granuloma
B. osteosarcoma
C. trauma with repair
D. malignant germ cell tumor",A. Eosinophilic granuloma,"E. Meningioma
F. Glioblastoma
G. Metastatic carcinoma
H. Osteoblastoma
I. Chondrosarcoma
J. Medulloblastoma",images/validation_Diagnostics_and_Laboratory_Medicine_23_1.png,1,
validation_Marketing_16,Sixty adults with gum disease were asked the number of times per week they used to floss before their diagnosis. The (incomplete) results are shown in table below. <image 1> What percent flossed at most three times per week?,"A. 90.25%
B. 94.21%
C. 93.33%
D. 95.50%",C. 93.33%,"E. 91.76%
F. 92.45%
G. 94.87%
H. 90.89%
I. 95.21%
J. 92.67%",images/validation_Marketing_16_1.png,1,
